"","Sport_ID","School_ID","Graduation_Year","Player","URL","player_imageurl","ID_Race","Position","Hometown","Height_Inches","Weight","Height_Numeric","High_School","CIP_Family","CIP_ID","CIPFamilyTitle","CIP_Code","CIPTitle","Stated_Major","Actual_Major","Aspiration","Departed_Program","Transfer","Quit","Injured","Dismissed","Jailed","Death","Last_Name","First_Name","City","State","Longitude","Latitude"
"347","FBALL","OKSTATE",2009,"Tonga Tea","http://www.okstate.com/sports/m-footbl/spec-rel/081508aar.html",NA,"PI","DT","Anchorage, AK",73,320,6.083,"East Anchorage High School",45,"SOCIAL.SCIENCE","Social Sciences",45.1101,"Sociology.","Sociology","FALSE","",NA,NA,NA,NA,NA,NA,NA,"Tea","Tonga","Anchorage","AK",-149.9002778,61.2180556
"348","FBALL","OKSTATE",2009,"Zach Allen","http://www.okstate.com/sports/m-footbl/spec-rel/081508aat.html",NA,"C","LS","Edmond, OK",73,270,6.083,"Memorial High School",52,"BUSINESS.MANAGEMENT.MARKETING","Business, Management, Marketing, and Related Support Services",52.0901,"Hospitality Administration/Management, General.","Hotel Management","","",NA,NA,NA,NA,NA,NA,NA,"Allen","Zach","Edmond","OK",-97.4780954,35.6528323
"349","FBALL","OKSTATE",2012,"Jared Glover","http://www.okstate.com/sports/m-footbl/spec-rel/081508aau.html",NA,"C","DE","Bixby, OK",76,245,6.333,"Bixby High School",51,"HEALTH.PROFESSION","Health Professions and Related Programs",51.1102,"Pre-Medicine/Pre-Medical Studies.","Pre-Medicine","","Surgeon",NA,NA,NA,NA,NA,NA,NA,"Glover","Jared","Bixby","OK",-95.8833235,35.9420431
"350","FBALL","OKSTATE",2010,"Michael Booker","http://www.okstate.com/sports/m-footbl/spec-rel/081508aaw.html",NA,"AA","OL","Paris, TX",75,315,6.25,"North Lamar High School",13,"EDUCATION","Education",13.0101,"Education, General.","Education","","",TRUE,TRUE,NA,NA,NA,NA,NA,"Booker","Michael","Paris","TX",-95.555513,33.6609389
"351","FBALL","OKSTATE",2007,"Steven Denning","http://www.okstate.com/sports/m-footbl/spec-rel/081508aay.html",NA,"C","OL","Southaven, MS",77,300,6.417,"Southaven High School",52,"BUSINESS.MANAGEMENT.MARKETING","Business, Management, Marketing, and Related Support Services",52.0101,"Business/Commerce, General.","General Business","","",NA,NA,NA,NA,NA,NA,NA,"Denning","Steven","Southaven","MS",-90.0125913,34.9889818
"352","FBALL","OKSTATE",2010,"Ben Bailey","http://www.okstate.com/sports/m-footbl/spec-rel/081508aaz.html",NA,"C","TE","Bixby, OK",75,225,6.25,"Bixby High School",52,"BUSINESS.MANAGEMENT.MARKETING","Business, Management, Marketing, and Related Support Services",52.0101,"Business/Commerce, General.","General Business","","",NA,NA,NA,NA,NA,NA,NA,"Bailey","Ben","Bixby","OK",-95.8833235,35.9420431
"353","FBALL","OKSTATE",2009,"Quinton Moore","http://www.okstate.com/sports/m-footbl/spec-rel/081508aba.html",NA,"AA","S","Pearland, TX",71,185,5.917,"Pearland High School",13,"EDUCATION","Education",13.0101,"Education, General.","Education","","",NA,NA,NA,NA,NA,NA,NA,"Moore","Quinton","Pearland","TX",-95.2860474,29.5635666
"354","FBALL","OKSTATE",2012,"William Cole","http://www.okstate.com/sports/m-footbl/spec-rel/081508abc.html",NA,"AA","WR","Cedar Hill, TX",73,180,6.083,"Cedar Hill High School",NA,NA,NA,NA,NA,"Undisclosed","","",TRUE,TRUE,NA,NA,NA,NA,NA,"Cole","William","Cedar Hill","TX",-96.9561152,32.5884689
"355","FBALL","OKSTATE",2009,"Jacob Lacey","http://www.okstate.com/sports/m-footbl/spec-rel/081508abe.html",NA,"AA","CB","Garland, TX",71,180,5.917,"Naaman Forest High School",45,"SOCIAL.SCIENCE","Social Sciences",45.0601,"Economics, General.","Economics","","",NA,NA,NA,NA,NA,NA,NA,"Lacey","Jacob","Garland","TX",-96.6388833,32.912624
"356","FBALL","OKSTATE",2009,"Matt Fodge","http://www.okstate.com/sports/m-footbl/spec-rel/081508abf.html",NA,"C","P","Garland, TX",73,195,6.083,"Garland High School",52,"BUSINESS.MANAGEMENT.MARKETING","Business, Management, Marketing, and Related Support Services",52.0101,"Business/Commerce, General.","General Business","","",NA,NA,NA,NA,NA,NA,NA,"Fodge","Matt","Garland","TX",-96.6388833,32.912624
"357","FBALL","OKSTATE",2008,"Todd Nelson","http://www.okstate.com/sports/m-footbl/spec-rel/081508abg.html",NA,"C","WR","Edmond, OK",74,205,6.167,"North High School",1,"AGRICULTURE","Agriculture, Agriculture Operations, and Related Sciences",1.0101,"Agricultural Business and Management, General.","Agricultural Business","","",NA,NA,NA,NA,NA,NA,NA,"Nelson","Todd","Edmond","OK",-97.4780954,35.6528323
"358","FBALL","OKSTATE",2008,"Brian Bowling","http://www.okstate.com/sports/m-footbl/spec-rel/081508abh.html",NA,"C","TE","Tonkawa, OK",76,240,6.333,"Tonkawa High School",31,"PARKS.REC","Parks, Recreation, Leisure, and Fitness Studies",31.0504,"Sport and Fitness Administration/Management.","Sports Management","","",NA,NA,NA,NA,NA,NA,NA,"Bowling","Brian","Tonkawa","OK",-97.3100441,36.6783679
"359","FBALL","OKSTATE",2009,"T.J. Bell","http://www.okstate.com/sports/m-footbl/spec-rel/081508abi.html",NA,"AA","CB","DeSoto, TX",73,185,6.083,"De Soto High School",31,"PARKS.REC","Parks, Recreation, Leisure, and Fitness Studies",31.0504,"Sport and Fitness Administration/Management.","Sports Management","","",NA,NA,NA,NA,NA,NA,NA,"Bell","T.J.","DeSoto","TX",-96.8569451,32.5898577
"360","FBALL","OKSTATE",2008,"Zach Crissup","http://www.okstate.com/sports/m-footbl/spec-rel/082408aab.html",NA,"C","LB","Helena, OK",71,200,5.917,"Timberlake High School",13,"EDUCATION","Education",13.1314,"Physical Education Teaching and Coaching.","Physical Education","Education","",NA,NA,NA,NA,NA,NA,NA,"Crissup","Zach","Helena","OK",-98.2700706,36.5461432
"361","FBALL","OKSTATE",2012,"Jeremy Gray","http://www.okstate.com/sports/m-footbl/spec-rel/082408aao.html",NA,"AA","DE","Sherman, TX",78,250,6.5,"Sherman High School",NA,NA,NA,NA,NA,"Undisclosed","","",TRUE,NA,NA,TRUE,NA,NA,NA,"Gray","Jeremy","Sherman","TX",-96.6088805,33.6356618
"362","FBALL","OKSTATE",2006,"Darnell Smith","http://www.okstate.com/sports/m-footbl/spec-rel/083106aab.html",NA,"AA","DE","San Antonio, TX",73,270,6.083,"William H Taft High School",45,"SOCIAL.SCIENCE","Social Sciences",45.0601,"Economics, General.","Economics","","",NA,NA,NA,NA,NA,NA,NA,"Smith","Darnell","San Antonio","TX",-98.4936282,29.4241219
