Number,Player,PlayerBio_URL,Height,Weight,Position,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
68,Bronson Irwin,http://www.soonersports.com/sports/m-footbl/mtt/irwin_bronson00.html,6/5/13,307,OL,JR,"Mustang, Okla. ",Mustang,OKLA,Mustang High School,,,,,University of Oklahoma,2012-2013
69,Lane Johnson,http://www.soonersports.com/sports/m-footbl/mtt/johnson_lane00.html,6/7/13,303,OL,SR,"Groveton, Texas ",Groveton,TEXAS,Groveton High School,Kilgore College,,,,University of Oklahoma,2012-2013
71,Tyrus Thompson,http://www.soonersports.com/sports/m-footbl/mtt/thompson_tyrus00.html,6/5/13,303,OL,SO,"Pflugerville, Texas ",Pflugerville,TEXAS,Pflugerville High School,,,,,University of Oklahoma,2012-2013
72,Derek Farniok,http://www.soonersports.com/sports/m-footbl/mtt/farniok_derek00.html,6/9/13,319,OL,RS FR,"Sioux Falls, S.D. ",Sioux Falls,SD,Washington High School,,,,,University of Oklahoma,2012-2013
73,Dylan Hartsook,http://www.soonersports.com/sports/m-footbl/mtt/hartsook_dylan00.html,6/4/13,275,OL,FR,"Midwest City, Okla. ",Midwest City,OKLA,Choctaw High School,,,,,University of Oklahoma,2012-2013
74,Adam Shead,http://www.soonersports.com/sports/m-footbl/mtt/shead_adam00.html,6/4/13,307,OL,SO,"Cedar Hill, Texas ",Cedar Hill,TEXAS,Cedar Hill High School,,,,,University of Oklahoma,2012-2013
75,Tyler Evans,http://www.soonersports.com/sports/m-footbl/mtt/evans_tyler00.html,6/5/13,315,OL,SR,"Strafford, Mo. ",Strafford,MO,Strafford High School,,,,,University of Oklahoma,2012-2013
76,Jake Reed,http://www.soonersports.com/sports/m-footbl/mtt/reed_jake00.html,6/4/13,300,OL,JR,"Ardmore, Okla. ",Ardmore,OKLA,Ardmore High School,,,,,University of Oklahoma,2012-2013
77,Marquis Anderson,http://www.soonersports.com/sports/m-footbl/mtt/anderson_marquis00.html,6/3/13,265,DT,RS FR,"Cibolo, Texas ",Cibolo,TEXAS,Byron M. Steele High School,,,,,University of Oklahoma,2012-2013
78,Kyle Marrs,http://www.soonersports.com/sports/m-footbl/mtt/marrs_kyle00.html,6/5/13,320,OL,FR,"San Antonio, Texas ",San Antonio,TEXAS,Brandeis High School,,,,,University of Oklahoma,2012-2013
79,Daryl Williams,http://www.soonersports.com/sports/m-footbl/mtt/williams_daryl00.html,6/6/13,299,OL,SO,"Lake Dallas, Texas ",Lake Dallas,TEXAS,Lake Dallas High School,,,,,University of Oklahoma,2012-2013
80,Jordan Phillips,http://www.soonersports.com/sports/m-footbl/mtt/phillips_jordan00.html,6/6/13,318,DT,RS FR,"Towanda, Kan. ",Towanda,KAN,Circle High School,,,,,University of Oklahoma,2012-2013
80,Derrick Woods,http://www.soonersports.com/sports/m-footbl/mtt/woods_derrick00.html,6/1/13,185,WR,FR,"Inglewood, Calif. ",Inglewood,CALIF,Inglewood High School,,,,,University of Oklahoma,2012-2013
81,Lacoltan Bester,http://www.soonersports.com/sports/m-footbl/mtt/bester_lacoltan01.html,6/3/13,205,WR,JR,"Scooba, Miss. ",Scooba,MISS,Kemper County High School,East Mississippi Community College,,,,University of Oklahoma,2012-2013
81,Sam Grant,http://www.soonersports.com/sports/m-footbl/mtt/grant_sam00.html,6/7/13,234,TE,FR,"North Royalton, Ohio ",North Royalton,OHIO,St. Edward High School,,,,,University of Oklahoma,2012-2013
82,Brannon Green,http://www.soonersports.com/sports/m-footbl/mtt/green_brannon00.html,6/2/13,250,TE,JR,"Altamont, Kan. ",Altamont,KAN,Labette County High School,Fort Scott Community College,,,,University of Oklahoma,2012-2013
83,Cody Barrow,http://www.soonersports.com/sports/m-footbl/mtt/barrow_cody00.html,5/10/13,175,WR,FR,"McKinney, Texas ",McKinney,TEXAS,Allen High School,,,,,University of Oklahoma,2012-2013
84,Mike Onuoha,http://www.soonersports.com/sports/m-footbl/mtt/onuoha_mike00.html,6/5/13,235,DE,FR,"Edmond, Okla. ",Edmond,OKLA,Santa Fe High School,,,,,University of Oklahoma,2012-2013
84,Don Caudill,http://www.soonersports.com/sports/m-footbl/mtt/caudill_don00.html,6/1/13,194,WR,JR,"Muldrow, Okla. ",Muldrow,OKLA,Muldrow High School,,,,,University of Oklahoma,2012-2013
85,Geneo Grissom,http://www.soonersports.com/sports/m-footbl/mtt/grissom_geneo00.html,6/4/13,247,DE,SO,"Hutchinson, Kan. ",Hutchinson,KAN,Hutchinson High School,,,,,University of Oklahoma,2012-2013
86,Brandon Kitchens,http://www.soonersports.com/sports/m-footbl/mtt/kitchens_brandon00.html,5/11/13,161,WR,FR,"Jenks, Okla. ",Jenks,OKLA,Jenks High School,,,,,University of Oklahoma,2012-2013
87,Derrick Bradley,http://www.soonersports.com/sports/m-footbl/mtt/bradley_derrick00.html,5/8/13,173,WR,SR,"Houston, Texas ",Houston,TEXAS,Alief Elsik High School,,,,,University of Oklahoma,2012-2013
88,Taylor McNamara,http://www.soonersports.com/sports/m-footbl/mtt/mcnamara_taylor00.html,6/5/13,238,TE,FR,"San Diego, Calif. ",San Diego,CALIF,Westview High School,,,,,University of Oklahoma,2012-2013
89,Connor Knight,http://www.soonersports.com/sports/m-footbl/mtt/knight_connor00.html,6/4/13,212,TE,FR,"San Antonio, Texas ",San Antonio,TEXAS,Reagan High School,,,,,University of Oklahoma,2012-2013
89,Chase Buck,http://www.soonersports.com/sports/m-footbl/mtt/buck_chase00.html,6/3/13,231,TE,JR,"Edmond, Okla. ",Edmond,OKLA,Deer Creek High School,,,,,University of Oklahoma,2012-2013
90,David King,http://www.soonersports.com/sports/m-footbl/mtt/king_david00.html,6/5/13,286,DE,SR,"Houston, Texas ",Houston,TEXAS,Strake Jesuit Prep,,,,,University of Oklahoma,2012-2013
91,Charles Tapper,http://www.soonersports.com/sports/m-footbl/mtt/tapper_charles00.html,6/4/13,265,DE,FR,"Baltimore, Md. ",Baltimore,MD,City College High School,,,,,University of Oklahoma,2012-2013
92,Stacy McGee,http://www.soonersports.com/sports/m-footbl/mtt/mcgee_stacy00.html,6/4/13,299,DT,SR,"Muskogee, Okla. ",Muskogee,OKLA,Muskogee High School,,,,,University of Oklahoma,2012-2013
93,Jordan Wade,http://www.soonersports.com/sports/m-footbl/mtt/wade_jordan01.html,6/4/13,290,DT,FR,"Round Rock, Texas ",Round Rock,TEXAS,Stony Point High School,,,,,University of Oklahoma,2012-2013
94,Torrea Peterson,http://www.soonersports.com/sports/m-footbl/mtt/peterson_torrea00.html,6/3/13,277,DT,SO,"San Antonio, Texas ",San Antonio,TEXAS,East Central High School,,,,,University of Oklahoma,2012-2013
95,Damon Williams,http://www.soonersports.com/sports/m-footbl/mtt/williams_damon00.html,6/3/13,305,DT,SO,"Irving, Texas ",Irving,TEXAS,Nimitz High School,,,,,University of Oklahoma,2012-2013
96,Mitch Tate,http://www.soonersports.com/sports/m-footbl/mtt/tate_mitch00.html,6/4/13,238,DE,RS FR,"Bartlesville, Okla. ",Bartlesville,OKLA,Bartlesville High School,,,,,University of Oklahoma,2012-2013
97,Jamarkus McFarland,http://www.soonersports.com/sports/m-footbl/mtt/mcfarland_jamarkus00.html,6/2/13,288,DT,SR,"Lufkin, Texas ",Lufkin,TEXAS,Lufkin High School,,,,,University of Oklahoma,2012-2013
98,Chuka Ndulue,http://www.soonersports.com/sports/m-footbl/mtt/ndulue_chuka00.html,6/3/13,256,DE,SO,"Dallas, Texas ",Dallas,TEXAS,Dallas Jesuit Prep,,,,,University of Oklahoma,2012-2013
99,Chaz Nelson,http://www.soonersports.com/sports/m-footbl/mtt/nelson_chaz00.html,6/2/13,239,DE,JR,"Columbus, Ohio ",Columbus,OHIO,Beechcroft High School,Garden City Community College,,,,University of Oklahoma,2012-2013
